sample_name	c13isotoperatiorate	collection_timestamp	cryosectionreplicate	description	dissolvedox	dna_extracted	elevation	env_biome	env_feature	env_material	env_package	geo_loc_name	grosspsrate	hanssampleid	host_subject_id	irradiancepar	latitude	longitude	matdepthcryosectionmm	matdepthcryosectionmmscaled	matdepthcryosectionrel	pctcreplaced	pctcreplacedperhr	physical_specimen_location	physical_specimen_remaining	porosity	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	sample_type	scientific_name	title
10481.Hans.1.1.1	100.6906528	4/9/14 21:00	1	laboratory microbial mat microcosm	1208.093788	TRUE	708.4	urban biome	research facility	microbial mat	microbial mat/biofilm	USA:CA:Berkeley	9.2170575	1-Jan	1-Jan	118.4055121	48.973062	119.476876	1.5	0	0	5.285998571	0.440499881	Pacific Northwest National Lab, Microbial Cell Dynamics Laboratory	FALSE	0.1775				10481	photosynthetic mat	microbial mat metagenome	Trade-offs between microbiome diversity and productivity in a stratified microbial mat
10481.Hans.1.10.1	7.349713085	4/9/14 21:00	1	laboratory microbial mat microcosm	1387.47794	TRUE	708.4	urban biome	research facility	microbial mat	microbial mat/biofilm	USA:CA:Berkeley	0.108	10-Jan	10-Jan	9.0728906	48.973062	119.476876	5	3.5	0.259259259	0.477216	0.039768	Pacific Northwest National Lab, Microbial Cell Dynamics Laboratory	FALSE	0.409				10481	photosynthetic mat	microbial mat metagenome	Trade-offs between microbiome diversity and productivity in a stratified microbial mat
10481.Hans.1.10.2	7.349713085	4/9/14 21:00	1	laboratory microbial mat microcosm	1387.47794	TRUE	708.4	urban biome	research facility	microbial mat	microbial mat/biofilm	USA:CA:Berkeley	0.108	10-Jan	10-Jan	9.0728906	48.973062	119.476876	5	3.5	0.259259259	0.477216	0.039768	Pacific Northwest National Lab, Microbial Cell Dynamics Laboratory	FALSE	0.409				10481	photosynthetic mat	microbial mat metagenome	Trade-offs between microbiome diversity and productivity in a stratified microbial mat
10481.Hans.1.10.3	7.349713085	4/9/14 21:00	1	laboratory microbial mat microcosm	1387.47794	TRUE	708.4	urban biome	research facility	microbial mat	microbial mat/biofilm	USA:CA:Berkeley	0.108	10-Jan	10-Jan	9.0728906	48.973062	119.476876	5	3.5	0.259259259	0.477216	0.039768	Pacific Northwest National Lab, Microbial Cell Dynamics Laboratory	FALSE	0.409				10481	photosynthetic mat	microbial mat metagenome	Trade-offs between microbiome diversity and productivity in a stratified microbial mat
10481.Hans.1.10.4	7.349713085	4/9/14 21:00	1	laboratory microbial mat microcosm	1387.47794	TRUE	708.4	urban biome	research facility	microbial mat	microbial mat/biofilm	USA:CA:Berkeley	0.108	10-Jan	10-Jan	9.0728906	48.973062	119.476876	5	3.5	0.259259259	0.477216	0.039768	Pacific Northwest National Lab, Microbial Cell Dynamics Laboratory	FALSE	0.409				10481	photosynthetic mat	microbial mat metagenome	Trade-offs between microbiome diversity and productivity in a stratified microbial mat
10481.Hans.1.10.5	7.349713085	4/9/14 21:00	1	laboratory microbial mat microcosm	1387.47794	TRUE	708.4	urban biome	research facility	microbial mat	microbial mat/biofilm	USA:CA:Berkeley	0.108	10-Jan	10-Jan	9.0728906	48.973062	119.476876	5	3.5	0.259259259	0.477216	0.039768	Pacific Northwest National Lab, Microbial Cell Dynamics Laboratory	FALSE	0.409				10481	photosynthetic mat	microbial mat metagenome	Trade-offs between microbiome diversity and productivity in a stratified microbial mat
10481.Hans.1.11.1	6.870259553	4/9/14 21:00	1	laboratory microbial mat microcosm	1325.497549	TRUE	708.4	urban biome	research facility	microbial mat	microbial mat/biofilm	USA:CA:Berkeley	not applicable	11-Jan	11-Jan	9.15097169	48.973062	119.476876	5.5	4	0.296296296	0.424599667	0.035383306	Pacific Northwest National Lab, Microbial Cell Dynamics Laboratory	FALSE	0.412				10481	photosynthetic mat	microbial mat metagenome	Trade-offs between microbiome diversity and productivity in a stratified microbial mat
10481.Hans.1.12.1	6.264275848	4/9/14 21:00	1	laboratory microbial mat microcosm	1205.388885	TRUE	708.4	urban biome	research facility	microbial mat	microbial mat/biofilm	USA:CA:Berkeley	not applicable	12-Jan	12-Jan	5.266400825	48.973062	119.476876	6	4.5	0.333333333	0.44991	0.0374925	Pacific Northwest National Lab, Microbial Cell Dynamics Laboratory	FALSE	0.424				10481	photosynthetic mat	microbial mat metagenome	Trade-offs between microbiome diversity and productivity in a stratified microbial mat
10481.Hans.1.12.2	6.264275848	4/9/14 21:00	1	laboratory microbial mat microcosm	1205.388885	TRUE	708.4	urban biome	research facility	microbial mat	microbial mat/biofilm	USA:CA:Berkeley	not applicable	12-Jan	12-Jan	5.266400825	48.973062	119.476876	6	4.5	0.333333333	0.44991	0.0374925	Pacific Northwest National Lab, Microbial Cell Dynamics Laboratory	FALSE	0.424				10481	photosynthetic mat	microbial mat metagenome	Trade-offs between microbiome diversity and productivity in a stratified microbial mat
10481.Hans.1.12.3	6.264275848	4/9/14 21:00	1	laboratory microbial mat microcosm	1205.388885	TRUE	708.4	urban biome	research facility	microbial mat	microbial mat/biofilm	USA:CA:Berkeley	not applicable	12-Jan	12-Jan	5.266400825	48.973062	119.476876	6	4.5	0.333333333	0.44991	0.0374925	Pacific Northwest National Lab, Microbial Cell Dynamics Laboratory	FALSE	0.424				10481	photosynthetic mat	microbial mat metagenome	Trade-offs between microbiome diversity and productivity in a stratified microbial mat
