sample_name	alkylated_pahs	altitude	altitude_m	ammonium	ammonium_umol_per_l	anonymized_name	benzene	collection_timestamp	country	cycloalkanes	depth	depth_m	description	diss_inorg_nitrogen	diss_nitrate	diss_phosphate	distance	dna_extracted	elevation	elevation_m	emp_release1	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	envo_biome_0	envo_biome_1	envo_biome_2	envo_biome_3	envo_biome_4	envo_biome_5	ethylbenzene	geo_loc_name	host_subject_id	isopropylbenzene	latitude	latitude_deg	longitude	longitude_deg	nitrate_umol_per_l	pah_sum	phosphate_umol_per_l	physical_specimen_location	physical_specimen_remaining	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	sample_scientific_name	sample_taxid	sample_type	scientific_name	title	toluene	tot_carb	tot_nitro	tot_sulfur	tph_sum	zylenes_total
1197.SD.20100916.GY01.FFC1.BC.001	47.56	0	0.0	221	221	SD.20100916.GY01.FFC1.BC.001	1.05	2010-09-16	GAZ:Gulf of Mexico	4.3	199	199.0	sediment	442	221	49	199.0352013	TRUE	0	0	True	EMP sample	Free-living	Saline	Sediment (saline)	marine benthic biome	marine sediment	contaminated sediment	sediment	biome	aquatic biome	marine biome	marine benthic biome	not applicable	not applicable	2.15	Gulf of Mexico	SD.20100916.GY01.FFC1.BC.001	2.15	28.05944	28.05944	-90.24821632	-90.24821632	221	93.99	49	LBNL	FALSE	TRUE	Free-living	Saline	Sediment (saline)	1197	marine sediment metagenome	412755	petroleum contaminated sediment	marine sediment metagenome	Metagenomics reveals sediment microbial community response to Deepwater Horizon oil spill	2.15	2.469	0.173	0.468	157.65	4.3
1197.SD.20100919.GY.FFC4.BC.011	25.07	0	0.0	64	64	SD.20100919.GY.FFC4.BC.011	0.85	2010-10-23	GAZ:Gulf of Mexico	3.4	198.6	198.6	sediment	421	357	79	198.5882848	TRUE	3	3	True	EMP sample	Free-living	Saline	Sediment (saline)	marine benthic biome	marine sediment	contaminated sediment	sediment	biome	aquatic biome	marine biome	marine benthic biome	not applicable	not applicable	1.7	Gulf of Mexico	SD.20100919.GY.FFC4.BC.011	1.7	27.46042	27.46042	-89.77946	-89.77946	357	43.76	79	LBNL	FALSE	TRUE	Free-living	Saline	Sediment (saline)	1197	marine sediment metagenome	412755	petroleum contaminated sediment	marine sediment metagenome	Metagenomics reveals sediment microbial community response to Deepwater Horizon oil spill	1.7	3.814	0.163	0.59	81.58	3.4
1197.SD.20100919.GY.FFC4.BC.011.a	25.07	0	0.0	64	64	SD.20100919.GY.FFC4.BC.011	0.85	2010-10-23	GAZ:Gulf of Mexico	3.4	198.6	198.6	sediment	421	357	79	198.5882848	TRUE	3	3	True	EMP sample	Free-living	Saline	Sediment (saline)	marine benthic biome	marine sediment	contaminated sediment	sediment	biome	aquatic biome	marine biome	marine benthic biome	not applicable	not applicable	1.7	Gulf of Mexico	SD.20100919.GY.FFC4.BC.011	1.7	27.46042	27.46042	-89.77946	-89.77946	357	43.76	79	LBNL	FALSE	TRUE	Free-living	Saline	Sediment (saline)	1197	marine sediment metagenome	412755	petroleum contaminated sediment	marine sediment metagenome	Metagenomics reveals sediment microbial community response to Deepwater Horizon oil spill	1.7	3.814	0.163	0.59	81.58	3.4
1197.SD.20100920.GY.FFMT6.BC.015	7.685	0	0.0	77	77	SD.20100920.GY.FFMT6.BC.015	0.55	2010-09-20	GAZ:Gulf of Mexico	2.2	0	0.0	sediment	230	153	52	196.7384266	TRUE	0	0	True	EMP sample	Free-living	Saline	Sediment (saline)	marine benthic biome	marine sediment	contaminated sediment	sediment	biome	aquatic biome	marine biome	marine benthic biome	not applicable	not applicable	1.1	Gulf of Mexico	SD.20100920.GY.FFMT6.BC.015	1.1	26.999739	26.999739	-87.996706	-87.996706	153	10.63	52	LBNL	FALSE	TRUE				1197	marine sediment metagenome	412755	petroleum contaminated sediment	marine sediment metagenome	Metagenomics reveals sediment microbial community response to Deepwater Horizon oil spill	1.1	6.571	0.061	0.18	26.565	2.2
1197.SD.20100920.GY.FFMT6.BC.015.a	7.685	0	0.0	77	77	SD.20100920.GY.FFMT6.BC.015	0.55	2010-09-20	GAZ:Gulf of Mexico	2.2	0	0.0	sediment	230	153	52	196.7384266	TRUE	0	0	True	EMP sample	Free-living	Saline	Sediment (saline)	marine benthic biome	marine sediment	contaminated sediment	sediment	biome	aquatic biome	marine biome	marine benthic biome	not applicable	not applicable	1.1	Gulf of Mexico	SD.20100920.GY.FFMT6.BC.015	1.1	26.999739	26.999739	-87.996706	-87.996706	153	10.63	52	LBNL	FALSE	TRUE				1197	marine sediment metagenome	412755	petroleum contaminated sediment	marine sediment metagenome	Metagenomics reveals sediment microbial community response to Deepwater Horizon oil spill	1.1	6.571	0.061	0.18	26.565	2.2
1197.SE.20100920.GY.FFMT5.BC.019	9.315	0	0.0	none	not applicable	SE.20100920.GY.FFMT5.BC.019	0.405	2010-09-20	GAZ:Gulf of Mexico	1.6	0	0.0	sediment	none	none	none	158.5859982	TRUE	0	0	True	EMP sample	Free-living	Saline	Sediment (saline)	marine benthic biome	marine sediment	contaminated sediment	sediment	biome	aquatic biome	marine biome	marine benthic biome	not applicable	not applicable	0.8	Gulf of Mexico	SE.20100920.GY.FFMT5.BC.019	0.8	27.460422	27.460422	-89.779464	-89.779464	not applicable	42.04	not applicable	LBNL	FALSE	TRUE	Free-living	Saline	Sediment (saline)	1197	marine sediment metagenome	412755	petroleum contaminated sediment	marine sediment metagenome	Metagenomics reveals sediment microbial community response to Deepwater Horizon oil spill	0.8	1.604	0.095	0.02	57.36	1.6
1197.SE.20100921.GY.FFMT3.BC.027	41.87	0	0.0	450	450	SE.20100921.GY.FFMT3.BC.027	0.95	2010-09-21	GAZ:Gulf of Mexico	3.8	1002	1002.0	sediment	669	218	74	124.3356371	TRUE	0	0	True	EMP sample	Free-living	Saline	Sediment (saline)	marine benthic biome	marine sediment	contaminated sediment	sediment	biome	aquatic biome	marine biome	marine benthic biome	not applicable	not applicable	1.9	Gulf of Mexico	SE.20100921.GY.FFMT3.BC.027	1.9	28.218692	28.218692	-89.491714	-89.491714	218	58.38	74	LBNL	FALSE	TRUE	Free-living	Saline	Sediment (saline)	1197	marine sediment metagenome	412755	petroleum contaminated sediment	marine sediment metagenome	Metagenomics reveals sediment microbial community response to Deepwater Horizon oil spill	1.9	2.445	0.187	0.497	114.5	3.8
1197.SE.20100921.GY.FFMT4.BC.023	18.58	0	0.0	246	246	SE.20100921.GY.FFMT4.BC.023	1.1	2010-09-21	GAZ:Gulf of Mexico	4.4	1405	1405.0	sediment	445	199	68	127.9564006	TRUE	0	0	True	EMP sample	Free-living	Saline	Sediment (saline)	marine benthic biome	marine sediment	contaminated sediment	sediment	biome	aquatic biome	marine biome	marine benthic biome	not applicable	not applicable	2.2	Gulf of Mexico	SE.20100921.GY.FFMT4.BC.023	2.2	27.828322	27.828322	-89.164775	-89.164775	199	18.89	68	LBNL	FALSE	TRUE	Free-living	Saline	Sediment (saline)	1197	marine sediment metagenome	412755	petroleum contaminated sediment	marine sediment metagenome	Metagenomics reveals sediment microbial community response to Deepwater Horizon oil spill	2.2	3.442	0.134	0.356	53.97	4.4
1197.SE.20100922.GY.LBNL3.BC.031	173.9	0	0.0	141	141	SE.20100922.GY.LBNL3.BC.031	0.9	2010-10-22	GAZ:Gulf of Mexico	3.6	5.13	5.13	sediment	493	353	76	5.127514982	TRUE	2	2	True	EMP sample	Free-living	Saline	Sediment (saline)	marine benthic biome	marine sediment	contaminated sediment	sediment	biome	aquatic biome	marine biome	marine benthic biome	not applicable	not applicable	1.8	Gulf of Mexico	SE.20100922.GY.LBNL3.BC.031	1.8	28.70523	28.70523	-88.40167	-88.40167	353	62.08	76	LBNL	FALSE	TRUE	Free-living	Saline	Sediment (saline)	1197	marine sediment metagenome	412755	petroleum contaminated sediment	marine sediment metagenome	Metagenomics reveals sediment microbial community response to Deepwater Horizon oil spill	1.8	2.756	0.202	0.459	249.48	3.6
1197.SE.20100922.GY.LBNL3.BC.031.a	173.9	0	0.0	141	141	SE.20100922.GY.LBNL3.BC.031	0.9	2010-10-22	GAZ:Gulf of Mexico	3.6	5.13	5.13	sediment	493	353	76	5.127514982	TRUE	2	2	True	EMP sample	Free-living	Saline	Sediment (saline)	marine benthic biome	marine sediment	contaminated sediment	sediment	biome	aquatic biome	marine biome	marine benthic biome	not applicable	not applicable	1.8	Gulf of Mexico	SE.20100922.GY.LBNL3.BC.031	1.8	28.70523	28.70523	-88.40167	-88.40167	353	62.08	76	LBNL	FALSE	TRUE				1197	marine sediment metagenome	412755	petroleum contaminated sediment	marine sediment metagenome	Metagenomics reveals sediment microbial community response to Deepwater Horizon oil spill	1.8	2.756	0.202	0.459	249.48	3.6
